id,title,url,source,published_at,clean_text
15,"Amazon previews 3 AI agents, including 'Kiro' that can code on its own for days",https://techcrunch.com/2025/12/02/amazon-previews-3-ai-agents-including-kiro-that-can-code-on-its-own-for-days/,TechCrunch,2025-12-02T22:18:01Z,amazon web services tuesday announced three new ai agents it calls frontier agents including one designed learn like work operate days agents handle different tasks writing code secur 3002 chars
16,Leave the iPhone 17. The vivo X300 is the phone I’m most excited about,https://www.timesnownews.com/bizz-impact/leave-the-iphone-17-the-vivo-x300-is-the-phone-im-most-excited-about-article-153259385,Times Now,2025-12-07T16:24:45Z,premium flagship smartphone space long shaped comfort predictability especially users accustomed iphone ecosystem year 2025 phones existed periphery alternatives evolved ful 8035 chars
17,"US-Based Data Security Software Company Cohesity To Barge In With $1 Billion Investment In India, Chasing Heels Of The Fastest-Growing Market",https://www.freepressjournal.in/business/us-based-data-security-software-company-cohesity-to-barge-in-with-1-billion-investment-in-india-chasing-heels-of-the-fastest-growing-market,Free Press Journal,2025-12-05T06:42:40Z,new delhi us-based data security software company cohesity backed global giants nvidia japan softbank announced billion investment india next five years it looks rapidly scale engineering operations stre 2013 chars
18,How AI Is Solving the #1 Bottleneck for Engineers Today,https://www.entrepreneur.com/science-technology/how-ai-is-solving-the-1-bottleneck-for-engineers-today/499504,Entrepreneur,2025-12-04T18:00:00Z,primary bottleneck engineering leaders today writing code waiting validation distributed teams defect delay release cycles 12-24 hours depending cross-time zone workflows ai breaks cycle instead 6189 chars
19,Classes VI-IX students to receive training in robotics laboratories,https://timesofindia.indiatimes.com/city/chennai/classes-vi-ix-students-to-receive-training-in-robotics-laboratories/articleshow/125821021.cms,Times of India,2025-12-07T23:32:00Z,chennai students studying classes govt schools set learn basic electronics building robots operating drones experiments robotics labs create interest science technology engineering maths 1958 chars
20,This Top Chip Stock Could Also Be the Best Way to Play a New Trump Robotics Rally,https://www.barchart.com/story/news/36496863/this-top-chip-stock-could-also-be-the-best-way-to-play-a-new-trump-robotics-rally,Barchart,2025-12-07T14:00:02Z,months trump administration thundering america artificial intelligence ai revival spotlight swiveling new space robotics shift come fanfare steady drumbeat meetings betw 6429 chars
21,China's Tsinghua University sets up research institute in push for robotics talent,https://www.thestar.com.my/aseanplus/aseanplus-news/2025/12/07/china039s-tsinghua-university-sets-up-research-institute-in-push-for-robotics-talent,The Star,2025-12-07T10:26:00Z,china tsinghua university set new cross-disciplinary institute undertake robotics research latest sign increased academic support top universities country doubles embodied intelligence competition wit 1889 chars
22,Tech Up on Risk-Appetite Rebound -- Tech Roundup,https://www.marketscreener.com/news/tech-up-on-risk-appetite-rebound-tech-roundup-ce7d51dcd080f123,MarketScreener,2025-12-05T22:42:12Z,shares technology companies rose traders returned high-risk bets shares samsara rose internet things company reported better-than-expected earnings lifted fiscal-year outlook softbank group exploring 519 chars
23,Strategic Partnership with Leading UAE Family Office to Build a New Growth Engine in the Middle East and North Africa,https://www.manilatimes.net/2025/12/05/tmt-newswire/globenewswire/strategic-partnership-with-leading-uae-family-office-to-build-a-new-growth-engine-in-the-middle-east-and-north-africa/2237921,The Manila Times,2025-12-05T14:05:03Z,huzhou city china dec 2025 globe newswire technology holdings limited nasdaq lzmh lzmh technology leading provider information technology advertising services today announced it entered head 6677 chars
24,Hybrid solar-wind streetlight offers multiple functions,https://www.pv-magazine.com/2025/12/05/hybrid-solar-wind-streetlight-offers-multiple-functions/,pv magazine,2025-12-05T06:58:59Z,portugal-based outdoor lighting technology specialist omniflow launched flexible streetlight system integrates wind-solar power generation addition providing lighting system typically grid-connected customized 3433 chars
25,Most Demanding Engineering Courses With Promising Salaries,https://www.ndtv.com/education/most-demanding-engineering-courses-with-promising-salaries-9763199,NDTV.com,2025-12-06T14:06:53Z,new delhi technology continues shape industries drive innovation certain engineering courses emerged highly sought-after qualifications aspiring professionals top engineering courses shaping 2259 chars
